"location_name","wave","begin","end","mean_death","end_beginning","begin_peak","end_peak","mask_beginwave","mask_peakwave"
"Austria",1,2020-03-22,2020-07-29,0.635461538461539,2020-04-03,2020-04-12,2020-04-24,0.272184615384615,0.495746153846154
"Austria",2,2020-09-23,2021-07-01,4.72812056737589,2020-10-20,2020-12-06,2021-01-02,0.476142857142857,0.581110714285714
"Austria",3,2021-07-29,2021-12-31,2.51641025641026,2021-08-13,2021-12-05,2021-12-20,0.2115125,0.471475
"Belgium",1,2020-03-22,2020-07-04,7.92533333333333,2020-03-31,2020-04-12,2020-04-21,0.07126,0.15118
"Belgium",2,2020-08-15,2021-06-18,4.28350649350649,2020-09-14,2020-11-15,2020-12-15,0.618845161290323,0.727309677419355
"Belgium",3,2021-07-28,2021-12-31,1.55,2021-08-12,2021-12-05,2021-12-20,0.44895625,0.55915
"Croatia",1,2020-03-29,2020-08-02,0.270787401574803,2020-04-10,2020-05-03,2020-05-15,0.0747538461538462,0.121607692307692
"Croatia",2,2020-09-12,2021-07-03,6.94335593220339,2020-10-11,2020-12-20,2021-01-18,0.180323333333333,0.35327
"Croatia",3,2021-08-06,2021-12-31,6.87243243243243,2021-08-20,2021-12-05,2021-12-19,0.184093333333333,0.29718
"Czechia",1,2020-03-29,2020-07-31,0.27768,2020-04-09,2020-04-12,2020-04-23,0.642533333333333,0.800283333333333
"Czechia",2,2020-09-25,2021-05-29,11.3117004048583,2020-10-19,2020-11-08,2020-12-02,0.358756,0.558008
"Czechia",3,2021-09-21,2021-12-31,4.92970588235294,2021-09-30,2021-12-05,2021-12-14,0.20507,0.36082
"Denmark",1,2020-03-18,2020-07-16,0.858429752066116,2020-03-29,2020-04-12,2020-04-23,0.0027,0.00711666666666667
"Denmark",2,2020-09-09,2021-06-26,1.10556701030928,2020-10-07,2021-01-24,2021-02-21,0.0382275862068965,0.169679310344828
"Denmark",3,2021-08-02,2021-12-31,0.709013157894737,2021-08-16,2021-12-26,2021-12-31,0.01834,0.16735
"Estonia",1,2020-03-29,2020-06-11,1.3392,2020-04-05,2020-03-29,2020-04-05,0.167925,0.167925
"Estonia",2,2020-10-25,2021-06-12,3.57484848484848,2020-11-16,2021-04-11,2021-05-03,0.555834782608696,0.675760869565217
"Estonia",3,2021-08-14,2021-12-31,2.93857142857143,2021-08-27,2021-10-31,2021-11-13,0.404214285714286,0.537778571428571
"Finland",1,2020-03-14,2020-07-22,0.416946564885496,2020-03-26,2020-04-05,2020-04-17,0.0094,0.0313461538461538
"Finland",2,2020-08-29,2021-07-05,0.388585209003215,2020-09-28,2020-11-15,2020-12-15,0.0731193548387097,0.377035483870968
"Finland",3,2021-07-21,2021-12-31,0.905487804878049,2021-08-05,2021-12-26,2021-12-31,0.5429375,0.640983333333333
"France",1,2020-03-22,2020-07-22,2.47333333333333,2020-04-02,2020-04-12,2020-04-23,0.437741666666667,0.309758333333333
"France",2,2020-09-13,2021-06-28,5.03560553633218,2020-10-11,2020-11-22,2020-12-20,0.663289655172414,0.787051724137931
"France",3,2021-07-16,2021-12-31,0.892366863905325,2021-08-01,2021-12-26,2021-12-31,0.481794117647059,0.572516666666667
"Germany",1,2020-03-14,2020-07-14,0.898617886178862,2020-03-25,2020-04-05,2020-04-16,0.138833333333333,0.352033333333333
"Germany",2,2020-10-08,2021-06-05,4.07771784232365,2020-10-31,2020-12-20,2021-01-12,0.50455,0.614154166666667
"Germany",3,2021-08-14,2021-12-31,2.07292857142857,2021-08-27,2021-11-28,2021-12-11,0.405214285714286,0.532485714285714
