location,abbreviation,date,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,people_fully_vaccinated_per_hundred,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index,hosp_patients_per_million,ICU patients per million,Stringency,R0,masks avg, Per eLife,Per Economist,Per Lancet,Per WHO,Per Levitt Age-Adjusted,Per Levitt Not Age-Adjusted,multiverse,Obesity rate,Gini,urban_density
Austria,AUT,31/12/2021,141452.592,1866.187,13850.938,70.64,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,81.54,0.922,133.606,27.182,58.6275,1.06956,0.391,8.5,9.4,10.1,6.6,7.2,8.5,2.8,20.1,29.8,1.48
Belgium,BEL,31/12/2021,179883.824,2432.755,2356.417,75.77,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,81.63,0.931,160.132,37.1408,52.773,1.12153,0.486,8.6,9.8,13.7,7.5,5.8,8,0.9,22.1,26,1.08
Croatia,HRV,31/12/2021,176082.986,3099.722,925.441,48.47,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,78.49,0.851,240.844,,43.6166,1.08558,0.209,14,16,19.1,14.3,10.2,13.4,7,26,29.5,1.41
Czechia,CZE,31/12/2021,239886.354,3462.077,4486.964,63.45,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,79.38,0.9,242.286,43.1689,51.59,1.09204,0.367,15.4,16.3,18.2,13.8,12.7,16.1,10.2,24.4,26.2,1.37
Denmark,DNK,31/12/2021,133231.468,553.529,9150.599,77.1,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,80.9,0.94,37.0704,6.46206,50.1774,1.08525,0.071,0.8,2.2,9.3,3.3,-2.8,2.1,-7.6,19.7,27.5,1.49
Estonia,EST,31/12/2021,182346.403,1456.943,1909.253,62.41,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,78.74,0.892,150.452,22.6234,41.2794,1.05941,0.479,9.2,10.9,16.3,9.8,7.7,9.7,0.8,21.2,30.7,1.85
Finland,FIN,31/12/2021,47621.033,307.72,1578.919,73.73,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,81.91,0.938,26.1132,5.155,42.0867,1.07042,0.354,2.4,4,7.8,2.5,-0.6,3.9,-5.3,22.2,27.1,1.51
France,FRA,31/12/2021,146728.723,1871.705,2908.831,73.21,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,82.66,0.901,238.529,36.6462,55.069,1.13396,0.569,6.1,7.5,11.9,6.3,4.5,7.5,2.6,21.6,30.7,1.59
Germany,DEU,31/12/2021,85943.178,1420.574,1108.67,70.96,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,81.33,0.947,,26.6314,58.6324,1.12106,0.464,4.4,5.6,10.1,9.7,2.7,6.4,1.1,22.3,31.7,1.39
Greece,GRC,31/12/2021,112691.012,1994.035,4523.436,67.8,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,82.24,0.888,,,68.5364,1.07053,0.563,8.8,9.2,9.2,7.1,7.5,10.8,5.6,24.9,33.6,2.53
Hungary,HUN,31/12/2021,126053.645,3931.454,897.911,60.01,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,76.88,0.854,,,51.7946,1.10911,0.5,12.1,14.1,18.1,12.3,9.4,12.2,6.8,26.4,29.7,1.56
Italy,ITA,31/12/2021,101315.788,2324.744,2365.578,75.78,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,83.51,0.892,213.884,22.5449,66.6727,1.1001,0.741,11.5,13.1,17.8,11.1,8,11.4,5.5,19.9,35.2,1.44
Latvia,LVA,31/12/2021,149500.663,2469.397,2965.17,68.22,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,75.29,0.866,,45.4953,47.0339,1.06849,0.476,11.1,12.4,19.7,12.2,9.6,11.1,7.1,23.6,35.7,1.96
Lithuania,LTU,31/12/2021,190696.342,2689.761,2478.237,66.62,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,75.93,0.882,341.758,,50.8182,1.05336,0.578,17.7,19.2,22.1,19.1,12.5,13.6,8.6,26.3,36,2.03
Netherlands,NLD,31/12/2021,177345.164,1189.079,1263.22,67.08,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,82.28,0.944,50.4687,21.1725,58.5277,1.08363,0.264,8.4,9.7,13.4,8.6,5.3,9.4,2.5,20.4,26,1.49
Norway,NOR,31/12/2021,72669.388,256.518,1713.248,72.31,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,82.4,0.957,20.8909,,47.9975,1.08296,0.177,1.3,2.4,0.9,-0.1,-3.6,-0.2,-9.4,23.1,27.7,1.4
Poland,POL,31/12/2021,103099.735,2435.147,728.48,52.8,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,78.73,0.88,238.68,,52.2297,1.0874,0.529,15.8,17.2,21.4,15.8,15,18.3,14.3,23.1,28.8,1.51
Portugal,PRT,31/12/2021,132072.329,1843.76,2604.913,83.07,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,82.05,0.864,115.255,19.1861,59.2251,1.09131,0.697,8.3,9.9,16.2,8.2,6.5,10.3,2.8,20.8,34.7,1.52
Slovakia,SVK,31/12/2021,149152.071,2947.662,8522.388,43.44,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,77.54,0.86,197.704,30.7569,51.0396,1.086,0.513,18.3,19.4,19.3,18.5,14.2,18,9.9,20.5,23.2,1.29
Slovenia,SVN,31/12/2021,218941.214,2891.252,982.109,56.09,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,81.32,0.917,199.078,42.846,57.2342,1.07371,0.526,10.5,11.7,14.8,11.9,8.4,11.9,4.7,20.2,24,1.2
Spain,ESP,31/12/2021,136797.48,1927.894,1546.842,79.63,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,83.56,0.904,157.533,35.8432,58.2459,1.17051,0.767,10.9,12.2,17.1,11,7.2,10.1,3.6,23.8,34.9,2.13
Sweden,SWE,31/12/2021,124623.804,1453.644,1448.181,68.78,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,82.8,0.945,93.6064,16.0617,49.7177,1.17886,0.033,5.4,6.5,9.8,6.1,-0.2,2,-6.7,20.6,28.9,1.54
Switzerland,CHE,31/12/2021,152718.543,1363.885,1654.347,66.71,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,83.78,0.955,103.375,20.7886,49.1323,1.14713,0.336,7.8,9.2,10.5,5.6,3.8,6.9,-1.5,19.5,33.1,1.42
United Kingdom,GBR,31/12/2021,199109.433,2220.847,5845.841,70.26,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,81.32,0.932,134.848,14.9889,59.0425,1.1051,0.383,10.1,11,12.5,11,6.4,9.3,4.2,27.8,32.6,2.33
